"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.240901.241200",0,0,0,0,1.62719128321866
"CM002236.1.241201.241500",0,0,0,0,1.52870661927776
"CM002236.1.241501.241800",0,0,0,0,0
"CM002236.1.243601.243900",0,0,0,-1.38880361921256,0
"CM002236.1.243901.244200",0,0,0,-1.64389765844051,0
"CM002236.1.244201.244500",0,0,0,-2.20270811659139,0
"CM002236.1.244501.244800",-1.65586231163913,-1.97055031977329,0,-2.17750139368668,0
"CM002236.1.244801.245100",-2.16017852585929,-1.76194098876774,0,-2.30853778841099,0
"CM002236.1.245101.245400",-1.90529523231847,-2.06900418990905,0,-2.24519763550608,0
"CM002236.1.245401.245700",-2.24007325667821,-2.24443373041203,0,-3.13459424039481,0
"CM002236.1.245701.246000",-1.76394254783145,0,0,-2.69945949650014,0
"CM002236.1.246901.247200",-2.10623361119663,-1.85795339849231,0,-2.98458854376234,0
"CM002236.1.249301.249600",-2.08004670225166,-1.62260799993045,0,-2.19920046683758,0
"CM002236.1.249601.249900",-1.77108194339081,0,0,-2.09871270536433,0
"CM002236.1.249901.250200",-1.63053502888051,0,0,-1.61791300870039,0
"CM002236.1.250201.250500",0,-1.7099037582605,0,-1.9173204417404,0
"CM002236.1.250501.250800",-2.05031020972717,0,0,-1.89963839108847,0
"CM002236.1.250801.251100",0,0,0,0,0
"CM002236.1.251101.251400",-1.69147851616838,0,0,-1.64589712504562,0
"CM002236.1.251401.251700",-1.99716040813213,0,0,-1.44116805814409,0
"CM002236.1.253501.253800",0,0,0,0,1.71110256045948
"CM002236.1.253801.254100",0,0,0,0,1.60590739335973
"CM002236.1.254101.254400",0,0,0,0,0
"CM002236.1.255001.255300",0,0,0,-1.76529184110019,0
"CM002236.1.255301.255600",0,0,0,-1.9275831532615,0
"CM002236.1.256201.256500",0,0,0,-2.9017155629384,0
"CM002236.1.257701.258000",0,0,0,-3.57053522431323,0
"CM002236.1.258001.258300",0,0,0,-3.58892038502077,0
"CM002236.1.258301.258600",0,0,0,-3.15532217975668,0
"CM002236.1.258601.258900",0,0,0,-3.56837172217817,0
"CM002236.1.258901.259200",0,0,0,-3.98210964837476,0
"CM002236.1.262201.262500",0,0,0,-4.00179221495342,0
"CM002236.1.262501.262800",0,0,0,-3.28561191884822,0
"CM002236.1.262801.263100",0,0,0,-3.7399832872071,0
"CM002236.1.264301.264600",0,0,0,-3.89107099950489,0
"CM002236.1.264601.264900",0,0,0,-3.69249798495583,0
"CM002236.1.264901.265200",0,0,0,-2.76213733290171,0
"CM002236.1.291901.292200",0,0,0,-4.01412158942895,0
"CM002236.1.292201.292500",0,0,0,-4.20179839556742,0
"CM002236.1.292501.292800",0,0,0,-4.17554794538382,0
"CM002236.1.293401.293700",0,0,0,-3.17609849804756,0
"CM002236.1.293701.294000",0,0,0,-3.71911157589246,0
"CM002236.1.294001.294300",0,0,0,-3.7719724180552,0
