"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002238.1.4985101.4985400",0,0,0,0,-2.44278810764237
"CM002238.1.4987501.4987800",0,0,0,0,2.76305998255717
"CM002238.1.4987801.4988100",0,0,0,0,0
"CM002238.1.4991101.4991400",0,0,-1.55144812547533,0,-2.25302131823072
"CM002238.1.4991401.4991700",0,0,-1.50461119190868,0,-2.36712129553914
"CM002238.1.4993501.4993800",0,0,0,0,-1.3800883828515
"CM002238.1.4993801.4994100",0,0,0,0,-2.16758856674607
"CM002238.1.5017801.5018100",0,0,0,0,-2.1952411201701
"CM002238.1.5019601.5019900",0,0,0,0,-2.30517815829554
"CM002238.1.5019901.5020200",0,0,0,0,-2.44324788191492
"CM002238.1.5026801.5027100",0,0,0,0,-1.7504732370213
"CM002238.1.5027101.5027400",0,0,0,0,-1.51745369501234
"CM002238.1.5031001.5031300",0,0,0,0,-2.19687503628127
"CM002238.1.5031301.5031600",0,0,0,0,-1.38251442357446
"CM002238.1.5053201.5053500",0,0,0,0,0
"CM002238.1.5053501.5053800",0,0,0,0,0
"CM002238.1.5057101.5057400",0,0,0,0,0
"CM002238.1.5057401.5057700",0,0,0,0,0
"CM002238.1.5057701.5058000",0,0,0,0,-1.66034782774981
"CM002238.1.5058001.5058300",0,0,0,0,0
"CM002238.1.5061601.5061900",0,0,0,0,-1.46051134192072
"CM002238.1.5061901.5062200",0,0,0,0,0
"CM002238.1.5089801.5090100",0,0,0,0,-1.83159444250466
"CM002238.1.5090101.5090400",0,0,0,0,-2.76896773226413
"CM002238.1.5094001.5094300",0,0,0,0,-1.97515073510002
"CM002238.1.5094301.5094600",0,0,0,0,-1.71115941867341
"CM002238.1.5116801.5117100",0,0,0,0,-1.33291049118763
"CM002238.1.5117101.5117400",0,0,0,0,0
"CM002238.1.5118901.5119200",0,0,0,0,-2.26293342741367
"CM002238.1.5130901.5131200",0,0,0,0,-1.61099090141089
"CM002238.1.5131201.5131500",0,0,0,0,-1.4103708472907
"CM002238.1.5145301.5145600",0,0,0,0,-1.44921944820488
"CM002238.1.5145601.5145900",0,0,0,0,-1.33147829605481
"CM002238.1.5204701.5205000",0,0,0,0,0
"CM002238.1.5205001.5205300",0,0,0,0,-1.4653230128513
"CM002238.1.5225701.5226000",0,0,0,0,0
"CM002238.1.5227501.5227800",0,0,0,0,-2.03994740171475
"CM002238.1.5227801.5228100",0,0,0,0,-1.5162632672154
"CM002238.1.5229301.5229600",0,0,0,0,-1.73243521245339
"CM002238.1.5229601.5229900",0,0,0,0,-1.3817579253094
"CM002238.1.5230801.5231100",0,0,0,0,0
"CM002238.1.5231101.5231400",0,0,0,0,0
"CM002238.1.5248801.5249100",0,0,0,0,-1.49179462725804
"CM002238.1.5251801.5252100",0,0,0,0,-1.61571508900508
"CM002238.1.5254201.5254500",0,0,-1.73704458172206,0,-1.7906799756008
"CM002238.1.5258401.5258700",0,0,0,0,0
"CM002238.1.5260201.5260500",0,0,0,0,0
"CM002238.1.5260501.5260800",0,0,0,0,0
"CM002238.1.5261401.5261700",0,0,0,0,-2.11863264323054
"CM002238.1.5261701.5262000",0,0,0,0,-1.36929974761376
"CM002238.1.5265301.5265600",0,0,0,-4.26368279027949,0
"CM002238.1.5265601.5265900",0,0,0,0,0
"CM002238.1.5269501.5269800",0,0,0,0,0
"CM002238.1.5269801.5270100",0,0,0,0,0
"CM002238.1.5270701.5271000",0,0,0,0,0
"CM002238.1.5271001.5271300",0,0,0,0,2.32432195755449
"CM002238.1.5271901.5272200",0,0,-2.29711672614725,-3.45564008020145,0
"CM002239.1.1201.1500",0,0,0,0,0
"CM002239.1.1501.1800",0,0,0,0,0
"CM002239.1.5701.6000",0,0,0,0,0
"CM002239.1.6001.6300",0,0,0,0,0
"CM002239.1.6301.6600",0,0,0,0,0
"CM002239.1.10801.11100",0,0,0,0,0
"CM002239.1.19501.19800",0,0,0,0,2.31208101827088
"CM002239.1.21601.21900",0,0,0,0,0
"CM002239.1.21901.22200",0,0,0,0,0
"CM002239.1.24301.24600",0,0,0,0,-2.05080946494518
"CM002239.1.24601.24900",0,-1.8643557983532,-2.00821856674917,-2.40966380293396,-1.67420954888136
"CM002239.1.28801.29100",0,0,0,0,0
"CM002239.1.29101.29400",0,0,0,0,0
"CM002239.1.31501.31800",0,0,0,0,0
"CM002239.1.31801.32100",0,0,0,0,0
"CM002239.1.55201.55500",0,0,0,0,0
"CM002239.1.55501.55800",0,0,0,0,-2.08734984189125
