"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002238.1.4635713.4636513",3.85010945541534,3.47088609083216,3.44937121236923,3.44160395203831,0,3.08052350772974
"CM002238.1.4638996.4639796",3.7871736588404,3.10566188358672,2.72511605330118,2.62438619156038,0,3.19097856124769
"CM002238.1.4639645.4640445",3.52686454971977,2.81939891276288,2.49833142298741,2.73238212478665,0,2.40448999285512
"CM002238.1.4645191.4645991",3.86127391224268,2.99942796921725,2.97758962163775,3.18199055828494,0,3.05784596360931
"CM002238.1.4646952.4647752",4.05880168515808,3.77537476963229,3.59338028193225,4.08262957817719,0,3.30780379972371
"CM002238.1.4648939.4649739",4.22754754245127,3.97060704269654,3.98775689998169,4.62577885385819,0,3.21551529679172
"CM002238.1.4651897.4652697",4.31097598632293,4.02531806847968,4.29863919333834,4.62986520611529,0,3.41138040452521
"CM002238.1.4654446.4655246",4.07156769427392,3.9980690880607,3.88192128459084,4.21462208775443,0,3.27426453858961
"CM002238.1.4655793.4656593",4.00106592162741,3.74525205394224,3.83101587111769,3.9842814602689,0,3.37615367972344
"CM002238.1.4658149.4658949",3.6621257995829,3.28068236989183,3.36939997521138,3.17940872383947,0,3.13818126767606
"CM002238.1.4673230.4674030",4.29521817049541,4.09238231722976,4.12945782543635,2.09294303685801,0,3.33327560902139
"CM002238.1.4676070.4676870",4.25468214413591,4.12448892114899,4.36818743451612,4.30249918740436,0,3.46687549454317
"CM002238.1.4677579.4678379",4.24145790006622,4.31802811241438,4.29187479267967,4.60078903549778,0,3.37404128859736
"CM002238.1.4679732.4680532",4.15193537482906,4.20201953386136,4.20052086069802,4.30546720010187,0,3.43874779911261
"CM002238.1.4684005.4684805",3.90957834293223,4.31420300793182,4.1646772209682,3.47959978488891,0,3.47705213663098
"CM002238.1.4723682.4724482",3.25611234590571,3.40262843589034,3.06900782771743,2.08189393306181,0,3.1276860224748
"CM002238.1.4726129.4726929",3.60273704383895,3.56857566519367,3.25150751291143,2.07551537829619,0,3.11868963393906
"CM002238.1.4726308.4727108",3.58296478750955,3.49447321003596,3.17238481907453,2.09846399369286,0,3.20161621330404
"CM002238.1.4732041.4732841",4.25972299494961,3.78448810210402,4.00752699321411,3.45075060065013,0,3.33318912868162
"CM002238.1.4735425.4736225",4.44185587290903,4.02375049191467,4.11543613231498,3.50972197709363,0,3.27217786496054
"CM002238.1.4742100.4742900",4.77084089212119,4.49858996400255,4.25992363777357,3.61395050570582,0,3.4530632880062
"CM002238.1.4742761.4743561",4.88725169791844,4.70618054686115,4.63969729897714,3.88133876064787,0,3.6707237239352
"CM002238.1.4745695.4746495",4.99471222708564,4.87565588833107,4.6011215346118,3.7227400544399,0,3.57263974778836
"CM002238.1.4749047.4749847",4.76160175466554,4.39921503242782,4.1399043260898,2.77441857543202,0,3.76283793975701
"CM002238.1.4751518.4752318",4.72762903818176,4.5251933184494,4.40919010334392,4.09971173172307,0,3.48693261129923
"CM002238.1.4754327.4755127",4.4859139362686,3.83427063268678,3.71776134700932,3.22565438849525,0,3.31918136596206
"CM002238.1.4757058.4757858",4.26164509109708,3.57496718470401,3.56342552399612,2.86737812617396,0,3.14602719447617
"CM002238.1.4759136.4759936",4.22378668008406,3.30821883484167,3.2752771382026,2.40523880762965,0,3.28734578076998
