"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002237.1.70201.70500",0.269593554666553,0.666566326861652,-2.57493541573022,-1.08412614801711,-1.32211919206423
"CM002237.1.74101.74400",0.362721519594173,0.357045944190126,-3.17844492218715,-2.15153088048827,-2.13231267772592
"CM002237.1.74401.74700",0.202851178436398,-0.107293673286691,-3.0904858604882,-2.58505869960313,-1.92926320681676
"CM002237.1.75301.75600",0.48201441238485,0.629694604056169,-2.51058910421637,-1.59010589829336,-2.33315426440852
"CM002237.1.75601.75900",0.471582562069225,-0.0166375237529656,-3.12656952883316,-1.93843033443693,-2.23301523285757
"CM002237.1.76201.76500",0.467379170034049,0.30344123151547,-3.05136650530872,-1.66487218133576,-1.68415019820529
"CM002237.1.106801.107100",0.39028835595408,0.607148056505761,-3.65402064730186,-2.85978979845721,-1.78177631881816
"CM002237.1.148201.148500",-0.131716988661658,0.119101737120978,-3.07217090750372,-1.8525060442142,-1.87543962772958
"CM002237.1.148501.148800",-0.445650610573587,-0.504212189230009,-3.11259064389862,-1.90914683756993,-1.75628243262965
"CM002237.1.562501.562800",-1.53512794907918,-1.90680738738775,1.99911743103702,-1.50804555389963,-2.11992891629566
"CM002237.1.562801.563100",-1.87836483043997,-2.39172921241839,1.79577738450313,-2.47030764585616,-3.34218302283886
"CM002237.1.564001.564300",-2.1100225036488,-2.71448278732053,2.05638398436177,-1.85337834362095,-2.58673581960795
"CM002237.1.564301.564600",-1.99337807871651,-2.32685749125918,2.03124904544249,-1.58996868037193,-2.68575094002922
"CM002237.1.567301.567600",-2.1037041682215,-2.27432314554677,1.71123367941845,-2.46918897162761,-3.51381216985765
"CM002237.1.567601.567900",-1.44045170552413,-1.92129298932802,2.2240527649829,-1.74321962039754,-2.84609054489325
"CM002237.1.570301.570600",-1.51909409949216,-2.1027925021045,2.13682363045098,-1.84125119214887,-3.25263449281029
"CM002237.1.584701.585000",-0.878507827852277,-0.816637081696335,3.32127182508473,-0.485100367444392,-1.40484747147253
"CM002237.1.585001.585300",-1.58976426732742,-1.75116113962881,2.82089390624192,-0.740909921089331,-1.60136891767898
"CM002237.1.1678501.1678800",-2.10049304897814,-0.926526301947328,-0.17683988834395,-2.56319242808803,-1.34288729952547
"CM002237.1.1680301.1680600",-3.19147418658423,-1.55542191728203,0.238715727395539,-2.69451611109895,-1.71936403431788
"CM002237.1.1684501.1684800",-3.09914827008075,-3.2700835211324,-0.251393036553872,-1.51458254660007,-2.53143398484614
"CM002237.1.1685701.1686000",-3.24674324071827,-3.00017998336973,-0.119381498245659,-1.34436064440795,-2.21776695290195
"CM002237.1.4046101.4046400",0.412364078497861,-0.561610424917596,0.827477893458135,-1.89745793570305,-2.67027006917607
"CM002237.1.4165201.4165500",0.281381451369076,0.030807116515525,1.65891280181807,-1.65337770796937,-1.99632574845599
"CM002237.1.4298101.4298400",-1.08634602815261,-0.900532626527429,-1.72930868647665,-0.599332866352644,1.31912494395929
"CM002237.1.4298401.4298700",-1.90161061671117,-1.51062181665891,-2.06901218008536,-1.45565291731611,0.512074202958808
"CM002237.1.4448701.4449000",-0.15836962491647,-0.337630938390575,-4.49453091568072,-2.79049529733982,-1.24354109894828
"CM002237.1.4449001.4449300",-0.0742676413620911,-0.244367926889774,-4.1154989489481,-3.5012363839513,-1.27975244230161
"CM002237.1.4452301.4452600",-0.188698561441162,-0.0893771959365091,-3.79304840482132,-2.31904759280147,-1.1667898796329
"CM002237.1.4466101.4466400",-0.229007923586808,-0.618304303651073,-4.05349243619511,-2.92574728214834,-1.05246905077256
"CM002237.1.4468201.4468500",0.198503942142213,0.129474323142084,-3.26875030769257,-1.82921797693185,-0.360037017677912
"CM002237.1.4468501.4468800",0.627612732053469,0.236121531605742,-2.16346282968574,-1.72052061523708,-0.211704235595723
"CM002238.1.9001.9300",1.35371217358678,0.503728061429242,-3.52292104419614,-3.52349408687855,-0.987953825472436
"CM002238.1.12601.12900",0.473046495646348,0.0263717579169552,-4.79172182656404,-3.35393701695762,-0.617515091274593
"CM002238.1.28801.29100",-0.0203976153283609,-0.77850233769652,-2.37899668980458,-1.8124998580136,0.733196531168266
"CM002238.1.29101.29400",0.0243409744100384,-0.439809090561422,-2.21078837900534,-2.19247800084208,0.565845318212231
"CM002238.1.31201.31500",0.129807998622195,-0.0545138719139835,-3.01326564829928,-2.39549869887697,-0.0343789552795707
"CM002238.1.31501.31800",-0.0444863512477748,-0.228209634908537,-3.7503609795187,-3.43446626410317,0.0628404849514454
"CM002238.1.161401.161700",-0.39587256386643,-0.478728126231302,-3.96904859989741,-2.20313897752575,-3.15306207123632
"CM002238.1.163501.163800",-0.530245784392874,-0.364589314481154,-3.488625916554,-1.78824992799252,-2.89166356022905
"CM002238.1.163801.164100",-0.836757084885367,-0.881802978761776,-2.91445717690921,-2.01897511147844,-2.29693973761787
"CM002238.1.166801.167100",-0.0566987563088929,0.419113365433983,-3.08834378325184,-2.70686632854728,-1.11576386159542
"CM002238.1.167101.167400",-0.109597227414731,0.0690380053968447,-2.82269215012297,-2.15883288577954,-1.56078010932554
"CM002238.1.200101.200400",-0.179898594653104,-0.738635947442979,-3.1749764850244,-2.15402883214305,-0.882869302854475
"CM002238.1.219001.219300",0.183490755674624,0.223598921624634,-0.948953612456157,-4.23942453568716,-0.945517889069272
"CM002238.1.219301.219600",0.140078278598311,0.109015162441699,-2.39831081265054,-3.51844836730723,-1.29778325419547
"CM002238.1.221401.221700",0.00462292127379017,0.140360666366495,-3.60393507995141,-3.02820023235365,-0.32364643990554
"CM002238.1.221701.222000",-0.415152534500696,-0.981918600428193,-2.93511595604344,-3.12060991288055,-0.997027089845365
"CM002238.1.223801.224100",0.284553567896011,0.319013970958496,-1.92471088127628,-1.78704685090576,-0.463269674659848
"CM002238.1.224101.224400",0.598918947002125,-0.0351683209094763,-2.26406903380491,-2.42678159083461,-0.632437068803525
"CM002238.1.225301.225600",-0.654709374619068,-0.260034831274623,-2.64803812414273,-4.25757052321074,-2.34928159733084
"CM002238.1.225601.225900",-0.0251971079634294,-0.0460135106109529,-2.61727422977466,-3.90291166327139,-1.82095369568155
"CM002238.1.229201.229500",-0.599256809724881,-0.530009298152762,-1.65860064886931,-3.02899047214214,-1.75767433870847
"CM002238.1.229501.229800",-0.25599331507999,-0.321649803780047,-1.39597861426304,-3.96875705543281,-1.42803839934848
"CM002238.1.233701.234000",0.13297339891588,-0.27757109473777,-1.14870675132357,-3.70966599422863,-1.02610706615724
"CM002238.1.234001.234300",0.202946628539347,0.345117523901792,-1.42285404475186,-3.72029025981287,-1.30121531617318
"CM002238.1.234601.234900",-0.356633135369588,-0.348363817082219,-1.65144549854939,-4.2993526688089,-1.96568366981203
"CM002238.1.234901.235200",0.275146869976143,-0.0984280523248601,-1.49074641562129,-3.47318174263426,-1.7579714269059
