"","WT_0hr_rep1","WT_0hr_rep2","WT_0hr_rep3","WT_24hr_rep1","WT_24hr_rep2","WT_24hr_rep3","qa_0hr_rep1","qa_0hr_rep2","qa_0hr_rep3","qa_24hr_rep1","qa_24hr_rep2","qa_24hr_rep3"
"NCU05511",359.265437307733,357.880482577536,305.404665902395,287.65698248877,103.962280290247,123.781874464546,290.986604534069,484.948520791436,316.898615378736,243.775747949416,176.425444817005,279.360869324261
"NCU17101",27.057647998072,98.9263122572051,62.4140487856084,58.5648946384323,65.2786411124805,68.0800309555002,28.3122101708824,98.1725054285102,90.9135371988176,73.2590330625187,47.0467852845345,37.2481159099015
"NCU05510",21.0448373318338,1.45479870966478,2.42384655478091,49.0911616822153,229.684107617987,116.045507310512,14.1561050854412,5.91400635111507,12.1218049598424,25.8932789272695,33.324806243212,111.744347729704
"NCU14175",1827.89444253642,314.236521287593,289.649663296319,1911.11031180414,680.590276783824,696.27304386307,1587.05667013446,180.968594344121,190.0525849061,740.168851286827,474.388418285723,543.822492284561
"NCU05508",511.088906630248,381.157261932173,311.464282289347,692.443754254406,1269.30691052045,649.854840938866,335.027820355442,340.646765824228,200.875625048816,392.819987628333,862.524396883133,1102.54423093308
"NCU05507",275.086087980398,15.2753864514802,15.1490409673807,39.6174287259983,19.3418195888831,26.303648323716,110.889489835956,17.1506184182337,19.9143938625981,19.5778450425697,5.88084816056682,7.44962318198029
"NCU05506",3.00640533311911,13.093188386983,12.7251944125998,0,0,0,2.35935084757353,17.1506184182337,9.52427532559042,1.26308677693998,0,0
"NCU05502",147.313861322836,219.674605159382,164.821565725102,80.957354353127,229.684107617987,213.523733451342,155.717155939853,206.990222289028,286.59410297913,119.993243809298,331.287779711931,454.427014100798
"NCU05501",144.307455989717,221.129403869047,143.006946732074,1541.63472651167,536.735493591506,591.058450568206,220.206079106863,171.506184182337,220.790018911414,817.217144680166,466.547287404968,491.675130010699
"NCU05500",165.352293321551,186.214234837092,167.245412279883,153.302224200602,333.646387908234,238.280108344251,188.748067805883,140.753351156539,165.376053380706,219.777099187556,172.504879376627,186.240579549507
