"order_idx","gene","cluster","K27_cac1","K27_cac2","K27_set7","K36_cac1","K36_cac2","K36_set7","RNA_cac-1","RNA_cac-2","RNA_set-7"
134,"NCU07636","K27 lost only",1.13030142894042,1.35464281305442,-0.0928647833695032,-1.04942502081891,-1.31765247110742,-0.84940041889165,0.477725575311062,0.0232884099899158,-0.507255920799191
135,"NCU07094","K27 lost only",1.41567827559915,0.928716656337291,0.361191808653769,1.0374333351227,1.20610312965929,1.33449236466428,1.1529320979573,-0.420646807231174,0.0526066554370637
136,"NCU07051","K27 lost only",1.66291593078525,0.54379209934905,0.493526877867154,1.31835254095936,1.16962529453818,1.28292550538364,2.16699232348775,0.529499252083749,0.167732791097068
137,"NCU07050","K27 lost only",1.48953926795155,0.700742974132592,0.578929366523941,0.575109088691092,0.28136324161275,1.09949180185494,1.909051657103,0.629012585006772,0.532876593598798
138,"NCU04934","K27 lost only",1.05702622948947,1.12975062381048,0.442900040285604,0.750791236257137,0.799784560049808,0.905585791827391,1.52134636464744,1.42710160519882,0.662818185634774
139,"NCU05055","K27 lost only",0.773302710297896,1.39500002037776,0.0817529775420328,0.54079496764021,0.597266656543513,1.07840576801862,2.35184665932511,0.814768821599103,-0.629257928252175
140,"NCU07653","K27 lost only",0.951698542436954,1.21596279294195,0.159774391825157,0.562308919995998,0.579977819845288,0.916167563442857,1.59208250206661,1.25956617356417,-0.370820196474786
141,"NCU07084","K27 lost only",1.5541016531843,0.470427879985228,0.11948273410507,1.01044255735308,0.770774519970975,1.4130400619604,2.34591614400938,0.120394455831461,0.367529586777731
142,"NCU03473","K27 lost only",1.30404415209766,0.689615719268382,0.888183063986563,1.35190155207801,1.26041686128571,1.82116194868108,1.74253500846977,1.36440317499148,-0.841145846421026
143,"NCU09275","K27 lost only",0.88861804025954,1.09753346523724,0.58213412871416,0.495586031626205,0.428071685549671,1.17609807378932,2.03178298157418,0.00362015657640383,-0.584802113068943
144,"NCU07085","K27 lost only",1.36149995957805,0.43986009496941,0.498522261749337,0.930052149401026,0.666608605222556,1.23657743350223,1.61538946455599,1.22767553164832,-0.483582634847364
145,"NCU03474","K27 lost only",1.08378417114514,0.707777828613907,0.739230194043317,1.16665923034806,1.06419780118921,1.7017270934241,2.15884668254105,0.559067058943346,0.342985378726336
146,"NCU08546","K27 lost only",1.11899786588739,0.643894471525357,0.424525331926773,1.07679159180566,0.991473316220023,1.40210358960313,1.56579392306656,0.711192298799094,-0.651285679899291
147,"NCU10344","K27 lost only",1.24425555297185,0.417361318599475,0.392508367041798,0.566163583321324,0.442584897954987,1.38930008275933,1.37450709679962,0.935282409214785,0.496984062787695
148,"NCU05466","K27 lost only",0.120477183281377,1.52508329213661,0.688340336920375,0.971295132788573,1.09682182639439,1.6585539212168,-0.281868726675829,-0.0199891262908037,2.58085723075028
149,"NCU09834","K27 lost only",0.213766804636599,1.36607588385812,0.920414762143262,1.36866433165894,1.16172544077396,2.15083292368746,0.84066453500301,2.11616218967407,-0.615509132617453
150,"NCU17263","K27 lost only",0.560126758031978,0.911425837424894,0.41603664322944,0.791546316512578,0.97054152603049,1.24189204126997,0,0,0
151,"NCU04870","K27 lost only",0.84416747879345,0.615680944369024,0.620654452863304,1.26364437229783,1.19468769081106,1.69702108552777,0.921591085758884,1.51927644307425,-0.632696409103837
152,"NCU04853","K27 lost only",0.563844431276397,0.719437073406307,0.607786862360666,0.778957041288599,0.508651566699962,1.34699115660955,2.18702205762058,0.807986756164096,0.2203689853983
153,"NCU03475","K27 lost only",0.772682837975955,0.451077609260607,0.826026723717944,1.0303678331963,1.04403170892485,1.47332675550329,2.15501748788235,0.79268037453333,-0.773223960899674
154,"NCU15640","K27 lost only",0.609704519748925,0.540858701249232,0.561400719949131,0.516081848706339,0.571109940577529,1.0434838176011,0,0,0
155,"NCU08547","K27 lost only",0.762177564158378,0.360168536460958,0.401901009076779,1.04485531289844,0.966893182324099,1.4601238366916,-0.213877559177373,1.3032171450357,-0.482600204683563
156,"NCU09277","K27 lost only",0.789580684392674,0.180514620294393,-0.263876010865184,-0.451599304087413,-0.86148715456234,-0.520479764159276,0,0,0
157,"NCU06898","K27 lost only",0.426438751930211,0.472561495159514,0.913269757953951,0.780786058811217,0.88034808093448,1.75891297317874,2.57092295240082,0.360209822481308,-0.446866141096083
158,"NCU06897","K27 lost only",0.326975739418611,0.547078176435339,0.740828449699997,1.15983399150555,1.07218180675579,1.91066572728596,2.48714671162763,0.641538874506646,-0.456892002881214
159,"NCU17161","K27 lost only",0.338806140812172,0.533209225203247,0.599150798324243,1.24853467109823,1.18163560193847,1.88041497913668,1.96380009975902,-0.714691679615975,-0.714691679615975
160,"NCU09452","K27 lost only",0.177554825994657,0.57597814262753,0.758484071563933,1.21707006336447,1.03877000514742,1.51700767602734,1.80053602264125,1.69618121766159,-0.556082849637897
161,"NCU07054","K27 lost only",0.602631252620474,0.142725897603166,0.329841271893359,1.10747538552422,0.905670565372498,1.37013341081864,1.17002865158988,1.49702187480933,-0.184796375261052
162,"NCU06901","K27 lost only",0.241161111259635,0.428796261988724,0.765238304380559,1.02105220431792,0.967843741671111,1.75868618455911,1.94977673635239,-0.294422700620017,-0.534097841362824
163,"NCU05769","K27 lost only",-0.109629950735537,0.752320720213339,0.77121372602206,0.808039207506759,1.07973376032973,1.8613844683817,1.64229804875416,0.229991202550645,-0.603737224337536
164,"NCU06886","K27 lost only",-0.142890034654571,0.297192203466369,0.492303198794713,0.789074727325727,0.846105126626133,1.24822169578569,2.63293003178642,0.044159970838682,-0.199544058947748
165,"NCU12044","K27 lost only",0.0685823917900587,0.0511673133782735,0.592455741974377,0.928018709319083,1.04486114088728,1.64200954509774,-0.406485573057258,0.240490009622439,-0.406485573057258
166,"NCU06896","K27 lost only",-0.11228634605822,0.228810277824276,0.785172332580045,1.14732629400484,1.09740128315074,2.13504880991953,2.60752397807978,0.222139789504844,-0.417703597496433
167,"NCU17170","K27 lost only",0.0444375632522797,0.0155259508780213,0.779293454239369,0.820508472802621,0.527464732244727,1.62262911829333,2.66666666666667,-0.333333333333333,-0.333333333333333
168,"NCU06887","K27 lost only",-0.258948589150943,0.194866347206957,0.720350882393639,1.16235182968589,0.970428071822813,1.58389949931939,1.57575162422987,1.89398337105398,-0.566381711712844
169,"NCU04871","K27 lost only",0.0222516074867979,-0.195262609680614,0.659503003416788,0.837197599837411,0.597205538745383,1.3313458210909,-0.394753380324918,1.06674488590029,-1.02755860725391
170,"gh81-1","K27 lost only",0.165919469107369,-0.474908519166632,0.446627901821257,0.602713442606751,0.369881027988943,0.922939195369321,-0.0449348673285512,1.18163283370896,1.35168207576253
171,"NCU08833","K27 lost only",-0.279350627104502,-0.076582894349168,0.795755701422828,0.661777652532493,0.842971205809592,1.50419435844498,1.48827851700464,1.08218450767475,1.13117166297912
