"order_idx","gene","cluster","K27_cac1","K27_cac2","K27_ash1","K36_cac1","K36_cac2","K36_set7","RNA_cac1","RNA_cac2","RNA_set7"
75,"NCU15146","K36 lost",0.964809256719916,0.847597538821123,3.13267271988884,0.720283683180022,0.152210384223998,1.91190146773342,0,0,0
76,"NCU06902","K36 lost",0.910379473587025,0.816619758306778,-0.588619181570575,0.527789039805271,0.293080484304982,1.90109989789496,6.50978733763041,4.39308544813969,2.46128305158912
77,"NCU10344","K36 lost",1.24425555297185,0.417361318599475,0.171586280530016,0.566163583321324,0.442584897954987,1.38930008275933,5.75842280685506,4.72510141283722,4.63993476104796
78,"NCU10539","K36 lost",1.0011347875216,0.582026179495811,0.552444555340633,-0.0112826133316222,-0.647592296422827,0.928994917153058,5.30739250715996,3.33628013009685,2.04556053013957
79,"nst-7","K36 lost",1.02394444109123,0.4152205176629,2.02560644470651,-0.511547101626674,-0.903413818655766,-0.468222378980363,4.88121683399716,3.546243338447,3.24991484790764
80,"NCU04887","K36 lost",1.05162592654905,0.144193714925891,0.804822631301481,-1.28649085775976,-1.57940886727446,-1.56977467528419,2.1338233743147,0.515929132632593,1.1071485599821
81,"NCU07086","K36 lost",0.605444277787166,0.160816639434678,-0.374539105362646,0.489140185597882,0.235578089650257,1.53044097138657,6.3102529396432,6.83788117874408,3.6800418967149
82,"NCU07049","K36 lost",0.536119902844721,-0.0697764376971919,-1.21142671245924,-1.00182347569368,-1.10636331948735,-0.726807859653014,3.86037311203814,2.11867046192781,2.8433675610844
83,"NCU12045","K36 lost",0.435835392061459,-0.172451822858005,-1.00388848079664,0.304464679790075,-0.240784714049276,1.53474608259067,8.25095123557614,5.90826715183504,2.55406767378494
84,"NCU07090","K36 lost",0.273598631076975,-0.0511906400961188,-0.225094658154699,-0.242416605364099,-0.754572706838743,0.980909416381117,7.20155251777477,5.10815515320959,4.19288029393273
85,"NCU15139","K36 lost",-0.0130948503503847,-0.0776115646407835,3.15856750224448,-0.665457960818236,-1.04082001070995,1.35391999168783,0,0,0
86,"NCU15140","K36 lost",0.123105104231287,-0.23416936164644,3.68016744283479,-1.14821396212174,-1.82082755028475,1.1885924861643,0,0,0
87,"NCU07087","K36 lost",-0.0778593179646529,-0.578321781890724,0.306598636140613,0.303689440100983,-0.193052328407497,1.49052158386136,7.44736999581149,6.48313772022532,4.46904542027378
88,"NCU07089","K36 lost",-0.270513486555992,-0.416942197236013,0.0681343324918321,-1.0462325371444,-1.25430563970829,0.303572271007254,6.4056877893574,3.92062415483439,4.62410887459669
89,"NCU06889","K36 lost",-0.831734781135794,-0.0874319971477136,-0.60200786918075,0.638656629886772,0.85954321021196,1.40892156501335,6.38731317070969,2.33764346272796,2.46115680296151
90,"NCU07053","K36 lost",0.163630810271317,-1.10970758433167,-0.967831313442051,-0.712439207973658,-1.17422636229605,-0.465077254837815,1.90113150606741,1.63559652130344,1.85597986445762
91,"NCU06904","K36 lost",-0.714215854254713,-0.419244309057425,-0.73600578198742,0.460088890782167,0.676419495301236,1.47148999431389,3.90400179904808,2.36442329135936,2.46084230970104
92,"NCU04860","K36 lost",-0.542526681421069,-0.614424297511504,3.47524305124325,-0.580482630494388,-0.756751843604838,1.53732665050312,12.2637814528338,11.7154013802099,4.04790145376198
93,"NCU11291","K27 lost only",4.43338739715042,3.67358533981322,1.51344621244878,0.23328611290141,0.227282506671811,0.00897943850273915,1.05139966870023,-1.89388360141002,0.433923198799475
94,"NCU08241","K27 lost only",3.83420122864253,3.71766113467141,3.31914875189109,0.879303034250802,0.772636354403692,1.63987085391966,4.74680465134175,0.422369631541117,2.12807343657533
